id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
2026,32,0.0004624792312567445,27,3.119857169468114e-05,7.635092801851224e-05,4.182523344430528e-05
2438,32,0.00017128860416916464,10,3.136957735200982e-05,7.621956981643989e-05,3.068720796583155e-05
1243,32,0.0003254483479214128,19,4.398643626426103e-05,7.586790327601696e-05,4.388633055892858e-05
885,64,0.0004624792312567445,27,4.208175877134662e-05,7.577051335393579e-05,4.0352841873428354e-05
1968,32,0.0002398040458368305,14,4.773953694180393e-05,7.575978186219304e-05,4.1116955685379904e-05
1449,32,0.0005823812541751597,34,4.263370282231686e-05,7.574978769604119e-05,3.13232865984276e-05
256,128,0.00022267518541991402,13,4.0202528078516326e-05,7.553883379541529e-05,3.824866595382352e-05
238,256,0.00042822151042291157,25,4.37044867928681e-05,7.551433244030981e-05,3.104104577705824e-05
998,64,0.000479608091673661,28,4.770660667984147e-05,7.550859288782573e-05,3.6860565346874834e-05
1509,32,0.0004110926500059951,24,4.748591751156803e-05,7.53661182199e-05,5.2813301800117406e-05
2123,32,0.00030831948750449634,18,4.060217165240048e-05,7.535188798489515e-05,3.460757225709507e-05
206,256,0.00030831948750449634,18,3.812787159890678e-05,7.525585819638064e-05,3.525774089845054e-05
1683,32,0.00022267518541991402,13,3.688944530879926e-05,7.522278683567815e-05,4.268019112201804e-05
899,64,0.00030831948750449634,18,3.0769088367476466e-05,7.521014231769824e-05,2.996518505278934e-05
1278,32,0.00030831948750449634,18,4.426030990342067e-05,7.509559688528954e-05,4.193001200534059e-05
2287,32,0.00029119062708757987,17,4.7414055646493954e-05,7.503504346276006e-05,5.0183865372277536e-05
1266,32,0.0002740617666706634,16,4.0856969238156595e-05,7.489068033709263e-05,3.8692829646937774e-05
630,64,0.00044535037083982804,26,3.3839565328223144e-05,7.483850314715055e-05,2.8293369294940353e-05
1470,32,0.00022267518541991402,13,3.8228499225188485e-05,7.454681896402179e-05,3.68630439816422e-05
2030,32,0.0001370308833353317,8,4.879251618342006e-05,7.440174940950774e-05,4.5964344132504213e-05
1906,32,0.00042822151042291157,25,3.798607388359656e-05,7.425279718668894e-05,3.607743521723023e-05
1215,32,0.0004110926500059951,24,4.247772062119448e-05,7.414696747880487e-05,3.876500567405524e-05
1732,32,0.0002398040458368305,14,3.465835270303014e-05,7.411560724951321e-05,3.304899323870958e-05
509,128,0.0004624792312567445,27,3.938455369387111e-05,7.40512857778169e-05,3.407485024399495e-05
122,256,0.0003425772083383293,20,4.599328435657142e-05,7.398356870993032e-05,3.333666413602321e-05
223,256,0.00011990202291841524,7,3.16556069195098e-05,7.368710615748065e-05,3.483390471597171e-05
303,128,0.0001370308833353317,8,4.9867008480387225e-05,7.340885278570913e-05,4.206486842024659e-05
1834,32,0.0005995101145920762,35,3.5962833725919715e-05,7.339601821721891e-05,3.448614199746621e-05
2457,32,0.0004624792312567445,27,3.3040082673064665e-05,7.313916982562545e-05,3.074212357269378e-05
65,512,0.00018841746458608108,11,4.431811608631273e-05,7.309390518154143e-05,3.8677448992048736e-05
2035,32,0.00022267518541991402,13,3.932465335365982e-05,7.298187609098558e-05,3.4809149252327204e-05
1079,64,0.0005138658125074939,30,4.161100961781363e-05,7.26685963695549e-05,3.434657918833316e-05
1715,32,0.00039396378958907863,23,3.066497103015474e-05,7.264062083968279e-05,2.9648936857036733e-05
1035,64,0.00025693290625374693,15,4.273964868479521e-05,7.248615383565654e-05,5.4802535479941185e-05
2262,32,0.00022267518541991402,13,4.214413605855136e-05,7.216113863057786e-05,3.78105789103939e-05
2198,32,0.00022267518541991402,13,3.435793954982609e-05,7.214244579571644e-05,2.9691210124861864e-05
2202,32,0.0003254483479214128,19,3.292234429283003e-05,7.192286293864077e-05,2.92918125512031e-05
1218,32,0.0006166389750089927,36,4.503792690524474e-05,7.185098953106826e-05,4.532683504611778e-05
1401,32,0.00029119062708757987,17,4.672555830421862e-05,7.170067392595615e-05,3.939075704464713e-05
1158,64,0.0003254483479214128,19,4.1549303506286094e-05,7.166535126535179e-05,3.585556366283507e-05
1600,32,0.0005995101145920762,35,4.005363301869231e-05,7.163860971016058e-05,3.999621306483227e-05
1719,32,0.0004967369520905774,29,3.942449464320736e-05,7.16179069963981e-05,4.238240113637097e-05
2098,32,0.00042822151042291157,25,3.7103910541197915e-05,7.157899090568553e-05,2.8045950050505595e-05
2138,32,0.0006337678354259091,37,3.703317850834807e-05,7.144721903241696e-05,3.960378070755732e-05
524,128,0.0002740617666706634,16,2.8201595756092452e-05,7.140259343994204e-05,5.671595678069572e-05
2380,32,0.0002740617666706634,16,3.549086830316693e-05,7.134878464471076e-05,4.6989843393531534e-05
147,256,0.00039396378958907863,23,3.69407413584958e-05,7.117471421480966e-05,3.471386477365737e-05
1734,32,0.00037683492917216216,22,3.670277897606663e-05,7.104531404737523e-05,3.767224663839162e-05
812,64,0.00039396378958907863,23,3.714235531246692e-05,7.089783282092078e-05,4.043337665026701e-05
880,64,0.0005138658125074939,30,3.9864316565068196e-05,7.084603417531779e-05,3.5957400149998174e-05
1688,32,0.00018841746458608108,11,4.785233118459721e-05,7.076812091108946e-05,4.2474121011027764e-05
1430,32,0.000924958462513489,54,4.483681999173611e-05,7.067480990070855e-05,4.6425184588771186e-05
234,256,0.0002740617666706634,16,4.7696702324844426e-05,7.056877349258996e-05,4.300049645823828e-05
1262,32,0.00017128860416916464,10,3.7503349821057995e-05,7.043498023451336e-05,4.6631785369058634e-05
